[2023-12-20 19:19:11,309: INFO: main: welcome to custom log]
[2023-12-20 19:55:31,638: INFO: main: welcome to custom log]
[2023-12-20 22:22:42,768: INFO: common: yaml file : config\config.yaml loaded successfully]
[2023-12-20 22:22:42,780: INFO: common: yaml file : params.yaml loaded successfully]
[2023-12-20 22:22:42,780: INFO: common: created directory at : artifacts]
[2023-12-20 22:22:42,780: INFO: common: created directory at : artifacts/data_ingestion]
[2023-12-20 22:22:42,780: INFO: 3596648662: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-20 22:23:02,895: INFO: 3596648662: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-21 11:34:34,033: INFO: main: >>>>> stage Data Ingestion Stage started <<<<<]
[2023-12-21 11:34:34,033: INFO: common: yaml file : config\config.yaml loaded successfully]
[2023-12-21 11:34:34,035: INFO: common: yaml file : params.yaml loaded successfully]
[2023-12-21 11:34:34,035: INFO: common: created directory at : artifacts]
[2023-12-21 11:34:34,035: INFO: common: created directory at : artifacts/data_ingestion]
[2023-12-21 11:34:34,035: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-21 11:34:49,813: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-21 11:34:50,734: INFO: main: >>>>> stage Data Ingestion Stage completed <<<<<]
